,CR_id,amount,CR_status,CR_created_at,CR_updated_at,user_id,moderated_at,deleted_account_id,reimbursement_date,cash_request_received_date,money_back_date,transfer_type,send_at,recovery_status,reco_creation,reco_last_update,F_id,type,F_status,category,total_amount,reason,F_created_at,F_updated_at,paid_at,from_date,to_date,charge_moment
0,5,100.0,rejected,2019-12-10 19:05:21.596873+00,2019-12-11 16:47:42.40783+00,804.0,2019-12-11 16:47:42.405646+00,,2020-01-09 19:05:21.596363+00,,,regular,,,,,,,,,,,,,,,,
1,70,100.0,rejected,2019-12-10 19:50:12.34778+00,2019-12-11 14:24:22.900054+00,231.0,2019-12-11 14:24:22.897988+00,,2020-01-09 19:50:12.34778+00,,,regular,,,,,,,,,,,,,,,,
2,7,100.0,rejected,2019-12-10 19:13:35.82546+00,2019-12-11 09:46:59.779773+00,191.0,2019-12-11 09:46:59.777728+00,,2020-01-09 19:13:35.825041+00,,,regular,,,,,,,,,,,,,,,,
3,10,99.0,rejected,2019-12-10 19:16:10.880172+00,2019-12-18 14:26:18.136163+00,761.0,2019-12-18 14:26:18.128407+00,,2020-01-09 19:16:10.879606+00,,,regular,,,,,,,,,,,,,,,,
4,1594,100.0,rejected,2020-05-06 09:59:38.877376+00,2020-05-07 09:21:55.34008+00,7686.0,2020-05-07 09:21:55.320193+00,,2020-06-05 22:00:00+00,,,regular,,,,,,,,,,,,,,,,
5,2145,100.0,money_back,2020-05-23 20:58:55.129432+00,2020-07-06 03:36:03.023911+00,9489.0,2020-05-24 12:40:33.05491+00,,2020-06-06 22:00:00+00,2020-05-26,2020-07-06 03:36:03.023521+00,regular,,completed,2020-06-12 22:27:04.837525+00,2020-07-06 03:36:03.030904+00,,,,,,,,,,,,
6,3512,100.0,rejected,2020-06-16 17:07:38.452652+00,2020-06-17 10:21:21.364746+00,14631.0,2020-06-17 10:21:21.360742+00,,2020-07-11 23:51:00+00,,,regular,,,,,,,,,,,,,,,,
7,654,100.0,rejected,2020-02-10 01:11:53.80827+00,2020-02-10 11:53:32.104131+00,,2020-02-10 09:11:21.350695+00,309.0,2020-03-11 01:11:53.80793+00,,,regular,,,,,,,,,,,,,,,,
8,5672,100.0,canceled,2020-06-28 12:06:33.71284+00,2020-06-28 12:06:33.712853+00,,,2499.0,2020-07-07 22:00:00+00,,,regular,,,,,,,,,,,,,,,,
9,71,90.0,rejected,2019-12-10 19:51:23.911206+00,2019-12-12 15:06:11.192888+00,897.0,2019-12-12 15:06:11.190299+00,,2019-12-17 19:51:23.910748+00,,,regular,,,,,,,,,,,,,,,,
10,648,1.0,rejected,2020-02-08 19:20:44.627662+00,2020-02-09 13:59:26.784459+00,2908.0,2020-02-09 13:59:26.779954+00,,2020-03-09 19:20:44.627255+00,,,regular,,,,,,,,,,,,,,,,
11,1794,100.0,money_back,2020-05-14 21:11:47.393326+00,2020-06-03 05:11:35.312872+00,778.0,2020-05-15 09:11:17.272832+00,,2020-05-29 21:11:46.695+00,2020-05-17,2020-06-03 05:11:35.312616+00,regular,,completed,2020-05-29 21:21:01.362364+00,2020-06-03 05:11:35.319122+00,,,,,,,,,,,,
12,655,1.0,rejected,2020-02-10 13:22:10.013736+00,2020-02-10 15:36:10.665778+00,163.0,2020-02-10 15:36:10.661861+00,,2020-02-17 13:22:10.013228+00,,,regular,,,,,,,,,,,,,,,,
13,2122,100.0,money_back,2020-05-22 12:47:42.741369+00,2020-06-13 06:36:34.188372+00,8218.0,2020-05-23 14:29:15.376466+00,,2020-06-15 22:00:00+00,2020-05-27,2020-06-13 06:36:34.188042+00,regular,,,,,,,,,,,,,,,,
14,741,100.0,rejected,2020-02-27 06:02:27.394185+00,2020-02-27 07:44:25.478286+00,1547.0,2020-02-27 07:44:25.474845+00,,2020-03-05 06:02:27.393674+00,,,regular,,,,,,,,,,,,,,,,
15,83,100.0,rejected,2019-12-11 07:09:44.687256+00,2019-12-18 15:07:44.215656+00,1248.0,2019-12-18 15:07:44.208674+00,,2020-01-10 07:09:44.686718+00,,,regular,,,,,,,,,,,,,,,,
16,690,100.0,rejected,2020-02-17 18:22:25.824497+00,2020-02-17 19:16:55.655247+00,939.0,2020-02-17 19:16:55.652115+00,,2020-03-18 18:22:25.824099+00,,,regular,,,,,,,,,,,,,,,,
17,756,70.0,rejected,2020-02-28 10:13:18.421583+00,2020-02-28 14:12:15.07666+00,821.0,2020-02-28 14:12:15.073471+00,,2020-03-07 23:00:00+00,,,regular,,,,,,,,,,,,,,,,
18,1073,100.0,rejected,2020-04-08 02:21:48.854449+00,2020-04-08 09:41:16.026093+00,2867.0,2020-04-08 09:41:16.022533+00,,2020-04-30 23:00:00+00,,,regular,,,,,,,,,,,,,,,,
19,545,100.0,rejected,2020-01-29 13:53:03.343598+00,2020-02-08 06:21:16.156719+00,,2020-01-29 14:39:11.563872+00,304.0,2020-02-28 13:53:03.343216+00,,,regular,,,,,,,,,,,,,,,,
20,600,100.0,rejected,2020-02-04 07:20:23.854358+00,2020-02-04 18:37:37.090789+00,2872.0,2020-02-04 18:37:37.087514+00,,2020-04-05 07:20:23.842669+00,,,regular,,,,,,,,,,,,,,,,
21,613,100.0,rejected,2020-02-05 17:37:56.852948+00,2020-02-08 06:21:16.15229+00,,2020-02-06 12:48:09.880702+00,304.0,2020-03-08 17:37:56.842421+00,,,regular,,,,,,,,,,,,,,,,
22,96,100.0,rejected,2019-12-11 15:06:58.975636+00,2019-12-18 15:10:53.171881+00,781.0,2019-12-18 15:10:53.162967+00,,2019-12-18 15:06:58.97522+00,,,regular,,,,,,,,,,,,,,,,
23,97,100.0,rejected,2019-12-11 15:47:02.225365+00,2019-12-11 17:15:43.266599+00,945.0,2019-12-11 17:15:43.264389+00,,2020-01-10 15:47:02.224742+00,,,regular,,,,,,,,,,,,,,,,
24,642,1.0,rejected,2020-02-08 11:38:20.601027+00,2020-02-08 17:53:40.269324+00,2460.0,2020-02-08 17:53:40.26613+00,,2020-03-03 11:38:20.591936+00,,,regular,,,,,,,,,,,,,,,,
25,84,100.0,rejected,2019-12-11 07:30:42.567035+00,2020-01-10 16:58:06.837117+00,,2020-01-10 16:58:06.830329+00,91.0,2020-01-10 07:30:42.567035+00,,,regular,,,,,,,,,,,,,,,,
26,100,100.0,rejected,2019-12-11 21:58:21.714715+00,2019-12-12 13:51:17.431739+00,1286.0,2019-12-12 13:51:17.42903+00,,2020-01-10 21:58:21.714187+00,,,regular,,,,,,,,,,,,,,,,
